date,service,departure_station,arrival_station,avg_journey_duration,nb_planned_trains,nb_cancelled_trains,nb_late_trains_departure,avg_delay_late_trains_departure,avg_delay_all_trains_departure,nb_late_trains_arrival,avg_delay_late_trains_arrival,avg_delay_all_trains_arrival,nb_trains_late_over_15min,avg_delay_trains_late_over_15min,nb_trains_late_over_30min,nb_trains_late_over_60min,pct_delay_external_causes,pct_delay_infrastructure,pct_delay_traffic_management,pct_delay_rolling_stock,pct_delay_station_management,Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2018-01,National,DIJON VILLE,PARIS LYON,98,451,7,264,6.674873737,4.068093093,42,28.48611111,2.398836336,29,2.398836336,12.0,5.0,25.0,12.5,40.0,7.5,2.5,12.5,0.0,0.0
2018-01,National,PARIS EST,STRASBOURG,112,494,9,49,6.267006803,0.576323024,14,27.3,0.77814433,11,0.77814433,5.0,1.0,25.0,8.333333333,8.333333333,50.0,8.333333333,0.0,0.0,0.0
2018-01,National,PARIS LYON,MULHOUSE VILLE,168,299,5,47,10.88865248,1.487414966,49,31.26462585,6.390646259,39,6.390646259,18.0,4.0,15.90909091,29.54545455,18.18181818,27.27272727,2.272727273,6.818181818,0.0,0.0
2018-01,National,BELLEGARDE (AIN),PARIS LYON,162,259,3,115,8.253188406,3.758333333,53,34.96918239,7.531966146,42,7.531966146,21.0,9.0,54.90196078,19.60784314,15.68627451,1.960784314,5.882352941,1.960784314,0.0,0.0
2018-01,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,184,278,1,149,15.00626398,8.019795427,69,38.49082126,10.27063779,60,10.27063779,26.0,12.0,24.13793103,17.24137931,32.75862069,20.68965517,3.448275862,1.724137931,0.0,0.0
2018-02,National,PARIS LYON,MULHOUSE VILLE,168,262,2,38,12.59298246,1.547820513,27,27.67716049,4.155641026,16,4.155641026,5.0,2.0,23.07692308,11.53846154,34.61538462,30.76923077,0.0,0.0,0.0,0.0
2018-02,National,DIJON VILLE,PARIS LYON,99,409,2,220,7.687424242,4.247338247,30,35.65166667,3.157411957,25,3.157411957,16.0,8.0,34.48275862,20.68965517,13.79310345,20.68965517,10.34482759,0.0,0.0,0.0
2018-02,National,BELLEGARDE (AIN),PARIS LYON,162,233,0,101,6.448019802,2.841773963,30,33.89944444,5.082546495,20,5.082546495,11.0,4.0,25.0,28.57142857,25.0,10.71428571,7.142857143,3.571428571,0.0,0.0
2018-02,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,187,282,0,152,11.80482456,6.261583924,73,24.67260274,7.19391253,60,7.19391253,15.0,4.0,8.333333333,20.0,46.66666667,18.33333333,3.333333333,3.333333333,0.0,0.0
2018-03,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,187,306,4,178,12.2414794,7.166501104,77,26.52337662,7.250220751,65,7.250220751,17.0,6.0,15.27777778,23.61111111,29.16666667,18.05555556,12.5,1.388888889,0.0,0.0
2018-03,National,PARIS LYON,MULHOUSE VILLE,173,287,4,44,11.58371212,1.522555948,38,34.10614035,4.485924617,27,4.485924617,12.0,5.0,40.54054054,8.108108108,18.91891892,24.32432432,5.405405405,2.702702703,0.0,0.0
2018-03,National,PARIS EST,STRASBOURG,111,493,20,112,12.22886905,2.852043693,74,31.41013514,5.185835095,54,5.185835095,23.0,6.0,38.35616438,1.369863014,5.479452055,42.46575342,8.219178082,4.109589041,0.0,0.0
2018-03,National,BELLEGARDE (AIN),PARIS LYON,162,254,3,100,7.974,3.201527224,35,28.35904762,4.097144754,25,4.097144754,13.0,1.0,21.21212121,15.15151515,33.33333333,18.18181818,12.12121212,0.0,0.0,0.0
2018-03,National,DIJON VILLE,PARIS LYON,100,451,8,262,9.218638677,5.545221971,45,36.38962963,3.589917231,33,3.589917231,18.0,8.0,38.63636364,15.90909091,22.72727273,18.18181818,2.272727273,2.272727273,0.0,0.0
2018-04,National,PARIS LYON,MULHOUSE VILLE,173,308,106,36,12.45787037,1.927805281,23,23.80942029,2.298349835,15,2.298349835,5.0,2.0,42.85714286,23.80952381,14.28571429,4.761904762,14.28571429,0.0,0.0,0.0
2018-04,National,PARIS EST,STRASBOURG,112,521,122,97,10.4185567,2.474686717,44,28.13598485,3.111570593,30,3.111570593,15.0,3.0,16.27906977,13.95348837,13.95348837,39.53488372,13.95348837,2.325581395,0.0,0.0
2018-04,National,BELLEGARDE (AIN),PARIS LYON,163,231,85,48,6.767708333,2.291894977,10,35.96833333,2.061187215,8,2.061187215,4.0,2.0,42.85714286,0.0,14.28571429,28.57142857,14.28571429,0.0,0.0,0.0
2018-04,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,182,260,100,96,18.46128472,11.10697917,40,38.38875,10.69104167,37,10.69104167,16.0,7.0,34.48275862,24.13793103,20.68965517,10.34482759,6.896551724,3.448275862,0.0,0.0
2018-04,National,DIJON VILLE,PARIS LYON,99,447,133,168,7.664087302,4.212048832,31,23.07473118,1.770488323,19,1.770488323,3.0,2.0,26.08695652,4.347826087,21.73913043,30.43478261,8.695652174,8.695652174,0.0,0.0
2018-05,National,BELLEGARDE (AIN),PARIS LYON,163,234,63,17,13.66666667,2.088693957,45,40.60851852,10.7791423,42,10.7791423,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,National,PARIS EST,STRASBOURG,119,507,57,59,21.24774011,3.066814815,39,28.63162393,1.803925926,30,1.803925926,11.0,2.0,30.76923077,5.128205128,5.128205128,41.02564103,12.82051282,5.128205128,0.0,0.0
2018-05,National,PARIS LYON,MULHOUSE VILLE,167,281,64,26,26.23461538,3.192089094,59,27.01666667,8.46797235,40,8.46797235,15.0,5.0,54.23728814,6.779661017,8.474576271,22.03389831,1.694915254,6.779661017,0.0,0.0
2018-05,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,184,221,63,89,20.932397,12.13723629,49,29.8,9.829219409,37,9.829219409,15.0,5.0,23.80952381,14.28571429,28.57142857,28.57142857,0.0,4.761904762,0.0,0.0
2018-05,National,DIJON VILLE,PARIS LYON,97,434,78,119,16.23585434,6.386142322,49,34.04387755,5.065636704,33,5.065636704,18.0,8.0,30.0,10.0,20.0,20.0,20.0,0.0,0.0,0.0
2018-06,National,DIJON VILLE,PARIS LYON,97,433,43,103,18.23268608,5.950128205,63,37.90740741,7.312136752,48,7.312136752,28.0,15.0,10.52631579,47.36842105,21.05263158,15.78947368,5.263157895,0.0,0.0,0.0
2018-06,National,BELLEGARDE (AIN),PARIS LYON,163,228,47,27,19.67469136,3.889042357,121,33.44256198,23.28941068,96,23.28941068,52.0,16.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,National,PARIS EST,STRASBOURG,112,471,25,44,19.32045455,2.232399103,48,31.67673611,3.601606876,30,3.601606876,18.0,5.0,14.89361702,27.65957447,8.510638298,31.91489362,17.0212766,0.0,0.0,0.0
2018-06,National,PARIS LYON,MULHOUSE VILLE,168,306,35,29,31.71034483,3.503751538,49,33.51292517,6.73603936,33,6.73603936,13.0,9.0,28.57142857,20.40816327,18.36734694,20.40816327,4.081632653,8.163265306,0.0,0.0
2018-06,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,183,194,43,81,20.83148148,11.71699779,92,37.63297101,23.40242826,82,23.40242826,45.0,10.0,74.0,18.0,2.0,6.0,0.0,0.0,0.0,0.0
2018-07,National,PARIS LYON,MULHOUSE VILLE,167,301,8,71,18.9915493,4.425824801,65,39.74025641,9.871956769, baisse de tension vers Montbard : 20 TGV retardes pour 751 min, 10 TGV de laxe perdus a 5.,54.0,9.871956769,27.0,9.0,24.61538462,18.46153846,4.615384615,40.0,6.153846154,6.153846154
2018-07,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,188,209,7,157,17.82335456,13.82021452,122,35.54699454,22.23061056, 16 TGV de laxe perdus a 5.,116,22.23061056,56.0,12.0,64.70588235,15.68627451,11.76470588,5.882352941,0.0,1.960784314,0.0
2018-07,National,DIJON VILLE,PARIS LYON,98,436,9,300,8.694777778,6.191530055,87,34.25996169,8.613700234, baisse de tension vers Montbard : 20 TGV retardes pour 751 min, 10 TGV de laxe perdus a 5.,63.0,8.613700234,32.0,14.0,21.73913043,43.47826087,4.347826087,26.08695652,0.0,4.347826087
2018-07,National,PARIS EST,STRASBOURG,113,494,11,112,10.09360119,1.419427191,41,34.77113821,2.97515528,36,2.97515528,16.0,5.0,9.756097561,21.95121951,7.317073171,39.02439024,14.63414634,7.317073171,0.0,0.0
2018-07,National,BELLEGARDE (AIN),PARIS LYON,163,220,6,114,7.329385965,3.961760125,100,34.15083333,17.04976636, suivi de 4 alertes radio pour personnes dans les voies avec des trains Transilien : 68 TGV retardes pour 5910 min,83,17.04976636,36.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,National,PARIS EST,STRASBOURG,113,473,5,86,10.52887597,1.879451567,34,31.18529412,2.005519943,26,2.005519943,10.0,3.0,17.64705882,14.70588235,2.941176471,52.94117647,11.76470588,0.0,0.0,0.0
2018-08,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,189,197,0,125,19.62133333,12.392978,67,30.72736318,11.64416244, suivi de 4 alertes radio pour personnes dans les voies avec des trains Transilien : 68 TGV retardes pour 5910 min,57,11.64416244,17.0,4.0,68.42105263,5.263157895,21.05263158,0.0,0.0,5.263157895,0.0
2018-08,National,BELLEGARDE (AIN),PARIS LYON,162,196,1,98,9.200510204,4.666068376,18,54.70555556,5.744017094, suivi de 4 alertes radio pour personnes dans les voies avec des trains Transilien : 68 TGV retardes pour 5910 min,16,5.744017094,8.0,5.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0
2018-08,National,DIJON VILLE,PARIS LYON,99,430,10,265,9.503773585,6.101984127,58,36.88563218,5.73281746,44,5.73281746,28.0,12.0,20.83333333,25.0,16.66666667,12.5,16.66666667,8.333333333,0.0,0.0
2018-08,National,PARIS LYON,MULHOUSE VILLE,167,277,2,58,16.91551724,3.315212121,44,36.1,6.725454545,34,6.725454545,17.0,6.0,18.18181818,13.63636364,6.818181818,45.45454545,13.63636364,2.272727273,0.0,0.0
2018-09,National,DIJON VILLE,PARIS LYON,101,415,2,271,6.99704797,4.702421308,60,24.10333333,3.937288136,39,3.937288136,13.0,2.0,10.52631579,22.80701754,47.36842105,15.78947368,3.50877193,0.0,0.0,0.0
2018-09,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,184,189,1,116,16.72025862,10.28173759,69,31.08574879,12.41861702,57,12.41861702,20.0,8.0,19.40298507,37.31343284,29.85074627,5.970149254,5.970149254,1.492537313,0.0,0.0
2018-09,National,PARIS LYON,MULHOUSE VILLE,167,297,2,54,13.30216049,2.206045198,41,35.67804878,5.837909605,34,5.837909605,14.0,5.0,17.07317073,19.51219512,12.19512195,39.02439024,9.756097561,2.43902439,0.0,0.0
2018-09,National,PARIS EST,STRASBOURG,113,474,7,75,11.94444444,1.815810136,37,27.83153153,2.430835118,30,2.430835118,10.0,2.0,21.62162162,13.51351351,5.405405405,59.45945946,0.0,0.0,0.0,0.0
2018-09,National,BELLEGARDE (AIN),PARIS LYON,163,229,1,71,6.468075117,2.079385965,26,24.08076923,2.950146199,18,2.950146199,4.0,1.0,13.63636364,27.27272727,40.90909091,9.090909091,9.090909091,0.0,0.0,0.0
2018-10,National,PARIS EST,STRASBOURG,113,451,4,63,13.36587302,1.791909023,27,32.92469136,2.018456376,22,2.018456376,8.0,4.0,19.23076923,19.23076923,3.846153846,46.15384615,11.53846154,0.0,0.0,0.0
2018-10,National,DIJON VILLE,PARIS LYON,100,417,2,258,5.76879845,3.69248996,37,30.67207207,3.370240964,22,3.370240964,10.0,6.0,10.81081081,21.62162162,48.64864865,8.108108108,8.108108108,2.702702703,0.0,0.0
2018-10,National,BELLEGARDE (AIN),PARIS LYON,162,235,0,100,3.660833333,1.585531915,28,29.0922619,3.446524823,20,3.446524823,7.0,4.0,17.85714286,39.28571429,28.57142857,3.571428571,10.71428571,0.0,0.0,0.0
2018-10,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,182,191,1,119,15.09929972,9.451315789,56,37.11369048,12.71008772,45,12.71008772,20.0,6.0,20.0,14.54545455,45.45454545,14.54545455,1.818181818,3.636363636,0.0,0.0
2018-10,National,PARIS LYON,MULHOUSE VILLE,167,290,2,43,17.94844961,2.41875,46,29.37572464,5.557928241,33,5.557928241,15.0,5.0,28.26086957,8.695652174,19.56521739,28.26086957,10.86956522,4.347826087,0.0,0.0
2018-11,National,BELLEGARDE (AIN),PARIS LYON,162,219,3,119,4.587114846,2.615740741,29,43.84195402,6.383719136,22,6.383719136,14.0,7.0,37.93103448,17.24137931,24.13793103,13.79310345,6.896551724,0.0,0.0,0.0
2018-11,National,DIJON VILLE,PARIS LYON,98,431,3,256,9.915820313,6.028115265,54,40.70524691,5.552842679,39,5.552842679,20.0,10.0,31.48148148,22.22222222,31.48148148,9.259259259,3.703703704,1.851851852,0.0,0.0
2018-11,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,182,194,2,113,11.17507375,6.602083333,64,32.55,11.45824653,53,11.45824653,29.0,7.0,26.5625,26.5625,34.375,7.8125,3.125,1.5625,0.0,0.0
2018-11,National,PARIS LYON,MULHOUSE VILLE,167,310,3,49,18.09897959,2.539793702,48,33.28819444,6.100271444,31,6.100271444,21.0,4.0,21.73913043,15.2173913,21.73913043,30.43478261,10.86956522,0.0,0.0,0.0
2018-12,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,188,240,4,136,10.20134804,5.909816384,33,24.70606061,4.341172316,26,4.341172316,7.0,1.0,22.58064516,12.90322581,38.70967742,16.12903226,9.677419355,0.0,0.0,0.0
2018-12,National,DIJON VILLE,PARIS LYON,98,437,6,249,9.843908969,5.794354215,37,45.88198198,4.081013148,25,4.081013148,14.0,9.0,46.875,15.625,21.875,6.25,9.375,0.0,0.0,0.0
2018-12,National,PARIS LYON,MULHOUSE VILLE,168,285,1,55,13.83848485,2.412969484,44,33.48674242,5.984507042,34,5.984507042,12.0,5.0,27.90697674,4.651162791,25.58139535,41.86046512,0.0,0.0,0.0,0.0
2018-12,National,BELLEGARDE (AIN),PARIS LYON,163,245,1,165,6.796666667,4.651502732,26,28.11282051,3.12602459,22,3.12602459,8.0,2.0,15.38461538,15.38461538,34.61538462,23.07692308,11.53846154,0.0,0.0,0.0
2019-01,National,BELLEGARDE (AIN),PARIS LYON,162,253,0,184,4.827445652,3.569301713,30,33.94777778,3.915217391,20,3.915217391,9.0,4.0,50.0,25.0,21.42857143,3.571428571,0.0,0.0,0.0,0.0
2019-01,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,189,237,3,143,16.14708625,9.871011396,41,46.48658537,8.321011396,33,8.321011396,17.0,9.0,31.57894737,13.15789474,39.47368421,10.52631579,5.263157895,0.0,0.0,0.0
2019-01,National,PARIS LYON,MULHOUSE VILLE,169,296,0,34,12.70392157,1.117736486,52,26.92852564,5.35731982,36,5.35731982,10.0,1.0,24.0,48.0,4.0,18.0,4.0,2.0,0.0,0.0
2019-01,National,PARIS EST,STRASBOURG,117,572,18,98,11.77789116,2.008092659,97,36.05601375,6.807129964,84,6.807129964,47.0,10.0,65.97938144,9.278350515,6.18556701,13.40206186,3.092783505,2.06185567,0.0,0.0
2019-01,National,DIJON VILLE,PARIS LYON,100,456,0,255,6.916143791,3.957967836,44,28.44469697,2.410343567,32,2.410343567,12.0,3.0,48.8372093,11.62790698,25.58139535,11.62790698,2.325581395,0.0,0.0,0.0
2019-02,National,PARIS LYON,MULHOUSE VILLE,169,258,1,38,32.36622807,4.458171206,35,66.4252381,9.772697795,29,9.772697795,20.0,11.0,11.42857143,42.85714286,20.0,20.0,2.857142857,2.857142857,0.0,0.0
2019-02,National,BELLEGARDE (AIN),PARIS LYON,162,218,1,160,8.05625,5.993317972,23,60.7173913,6.028571429, accident de personne,15,6.028571429,8.0,7.0,4.761904762,61.9047619,19.04761905,4.761904762,4.761904762,4.761904762,0.0
2019-02,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,190,215,3,137,15.48345499,10.00982704,42,51.8468254,11.05400943, accident de personne,37,11.05400943,14.0,9.0,14.63414634,19.51219512,43.90243902,12.19512195,4.87804878,4.87804878,0.0
2019-02,National,DIJON VILLE,PARIS LYON,100,401,4,225,7.650518519,4.436733837,29,63.0545977,4.095088161, accident de personne,26,4.095088161,21.0,14.0,11.11111111,66.66666667,11.11111111,7.407407407,3.703703704,0.0,0.0
2019-03,National,BELLEGARDE (AIN),PARIS LYON,162,256,0,188,5.320212766,3.954361979,30,33.76833333,3.272265625,28,3.272265625,10.0,3.0,21.42857143,25.0,32.14285714,10.71428571,3.571428571,7.142857143,0.0,0.0
