date,temp_mean,precip_sum,wind_max,station
2017-12,7.79,4.8,42.92,PARIS LYON
2018-01,7.15,130.3,46.35,PARIS LYON
2018-02,1.19,60.4,29.64,PARIS LYON
2018-03,6.76,86.0,33.41,PARIS LYON
2018-04,12.65,70.5,39.58,PARIS LYON
2018-05,15.92,51.3,25.41,PARIS LYON
2018-06,19.04,93.5,24.29,PARIS LYON
2018-07,22.84,30.2,28.28,PARIS LYON
2018-08,20.62,44.6,29.54,PARIS LYON
2018-09,16.86,29.3,44.73,PARIS LYON
2018-10,13.54,34.4,35.36,PARIS LYON
2018-11,7.84,82.9,29.22,PARIS LYON
2018-12,6.45,79.9,39.46,PARIS LYON
2019-01,3.45,60.8,32.17,PARIS LYON
2019-02,6.28,29.6,41.06,PARIS LYON
2019-03,8.86,57.6,47.11,PARIS LYON
2019-04,10.72,29.3,32.64,PARIS LYON
2019-05,13.06,83.8,27.65,PARIS LYON
2019-06,19.12,78.7,42.6,PARIS LYON
2019-07,21.5,21.8,29.69,PARIS LYON
2019-08,20.05,80.9,33.06,PARIS LYON
2019-09,16.95,38.3,42.0,PARIS LYON
2019-10,13.17,112.0,33.05,PARIS LYON
2019-11,7.42,103.4,31.09,PARIS LYON
2019-12,6.33,92.9,42.53,PARIS LYON
2020-01,6.16,44.4,36.62,PARIS LYON
2020-02,8.07,113.6,49.37,PARIS LYON
2020-03,7.8,55.5,40.26,PARIS LYON
2020-04,14.0,35.8,35.17,PARIS LYON
2020-05,15.61,30.0,38.16,PARIS LYON
2020-06,18.1,50.6,33.91,PARIS LYON
2020-07,20.41,10.3,28.46,PARIS LYON
2020-08,21.6,40.3,35.36,PARIS LYON
2020-09,18.21,50.0,37.51,PARIS LYON
2020-10,12.19,91.8,40.61,PARIS LYON
2020-11,8.85,15.5,36.74,PARIS LYON
2020-12,6.07,136.0,47.08,PARIS LYON
2021-01,4.34,110.5,43.49,PARIS LYON
2021-02,6.14,52.5,35.14,PARIS LYON
2021-03,7.5,37.3,40.34,PARIS LYON
2021-04,8.37,35.5,27.78,PARIS LYON
2021-05,12.72,71.0,34.99,PARIS LYON
2021-06,19.01,77.5,30.38,PARIS LYON
2021-07,19.09,104.2,35.73,PARIS LYON
2021-08,18.4,20.7,32.42,PARIS LYON
2021-09,17.68,77.1,25.05,PARIS LYON
2021-10,11.8,70.9,47.5,PARIS LYON
2021-11,6.2,28.3,32.34,PARIS LYON
2021-12,6.21,78.6,32.16,PARIS LYON
2022-01,4.02,52.3,45.63,PARIS LYON
2022-02,6.91,25.6,46.54,PARIS LYON
2022-03,8.61,44.8,30.31,PARIS LYON
2022-04,10.92,51.8,38.78,PARIS LYON
2022-05,16.44,45.1,28.88,PARIS LYON
2022-06,18.93,93.0,28.84,PARIS LYON
2022-07,21.67,35.1,25.62,PARIS LYON
2022-08,22.17,55.3,23.07,PARIS LYON
2022-09,15.85,72.5,31.56,PARIS LYON
2022-10,15.22,76.3,36.44,PARIS LYON
2022-11,9.15,68.4,38.18,PARIS LYON
2022-12,5.05,92.6,36.44,PARIS LYON
2023-01,5.57,65.1,44.21,PARIS LYON
2023-02,5.3,8.7,33.06,PARIS LYON
2023-03,8.84,99.6,40.72,PARIS LYON
2023-04,9.7,84.2,37.57,PARIS LYON
2023-05,14.69,80.5,27.29,PARIS LYON
2023-06,20.81,79.3,27.53,PARIS LYON
2023-07,20.34,94.8,34.75,PARIS LYON
2023-08,19.53,133.9,42.19,PARIS LYON
2023-09,19.66,71.3,28.79,PARIS LYON
2023-10,14.25,112.2,41.87,PARIS LYON
2023-11,8.52,108.6,47.57,PARIS LYON
2023-12,7.49,91.1,36.91,PARIS LYON
2024-01,4.11,63.9,40.54,PARIS LYON
2024-02,8.65,112.2,45.53,PARIS LYON
2024-03,9.18,101.4,39.95,PARIS LYON
2024-04,11.3,81.0,38.8,PARIS LYON
2024-05,14.41,141.9,24.86,PARIS LYON
